"CH1_x","CH1_y"
1202.25,-0.1260080645,
1204,0.07560483871,
1205.75,-0.1260080645,
1207.5,-0.0252016129,
1209.25,-0.1764112903,
1211,-0.2268145161,
1212.75,-0.0252016129,
1214.5,-0.4788306452,
1216.25,0.07560483871,
1218,-0.07560483871,
1219.75,-0.1764112903,
1221.5,-0.2268145161,
1223.25,-0.2772177419,
1225,-0.1260080645,
1226.75,-0.2772177419,
1228.5,-0.2268145161,
1230.25,-0.1260080645,
1232,0.0252016129,
1233.75,-0.2268145161,
1235.5,-0.4788306452,
1237.25,-0.2268145161,
1239,-0.2772177419,
1240.75,-0.4788306452,
1242.5,-0.3276209677,
1244.25,-0.4788306452,
1246,-0.2772177419,
1247.75,-0.07560483871,
1249.5,-0.3276209677,
1251.25,-0.1260080645,
1253,-0.2268145161,
1254.75,0.1260080645,
1256.5,-0.3276209677,
1258.25,-0.2268145161,
1260,-0.2772177419,
1261.75,-0.2268145161,
1263.5,-0.0252016129,
1265.25,-0.1260080645,
1267,-0.3780241935,
1268.75,-0.1764112903,
1270.5,-0.2772177419,
1272.25,-0.07560483871,
1274,-0.07560483871,
1275.75,-0.1260080645,
1277.5,-0.1764112903,
1279.25,-0.1764112903,
1281,-0.5796370968,
1282.75,-0.1764112903,
1284.5,-0.1764112903,
1286.25,-0.1764112903,
1288,-0.1260080645,
1289.75,-0.2268145161,
1291.5,-0.2268145161,
1293.25,-0.4788306452,
1295,-0.07560483871,
1296.75,-0.3276209677,
1298.5,-0.2268145161,
1300.25,-0.2268145161,
1302,-0.6300403226,
1303.75,-0.1764112903,
1305.5,-0.1764112903,
1307.25,-0.2268145161,
1309,-0.1764112903,
1310.75,-0.2772177419,
1312.5,-0.4788306452,
1314.25,-0.1260080645,
1316,-0.1764112903,
1317.75,-0.2772177419,
1319.5,-0.3276209677,
1321.25,-0.2268145161,
1323,-0.2268145161,
1324.75,-0.0252016129,
1326.5,-0.2268145161,
1328.25,-0.0252016129,
1330,-0.0252016129,
1331.75,-0.2772177419,
1333.5,-0.07560483871,
1335.25,-0.1764112903,
1337,-0.07560483871,
1338.75,-0.2268145161,
1340.5,-0.1764112903,
1342.25,-0.2268145161,
1344,-0.1764112903,
1345.75,-0.4284274194,
1347.5,-0.2268145161,
1349.25,-0.1764112903,
1351,-0.2772177419,
1352.75,-0.2772177419,
1354.5,-0.2772177419,
1356.25,-0.529233871,
1358,-0.1764112903,
1359.75,-0.3780241935,
1361.5,-0.4788306452,
1363.25,-0.1260080645,
1365,-0.2268145161,
1366.75,-0.2268145161,
1368.5,-0.3780241935,
1370.25,-0.3780241935,
1372,-0.2268145161,
1373.75,-0.2772177419,
1375.5,-0.1764112903,
1377.25,-0.1764112903,
1379,0.1764112903,
1380.75,-0.1260080645,
1382.5,-0.1260080645,
1384.25,-0.0252016129,
1386,-0.3276209677,
1387.75,-0.2772177419,
1389.5,-0.1764112903,
1391.25,-0.4284274194,
1393,-0.3780241935,
1394.75,-0.529233871,
1396.5,-0.2268145161,
1398.25,-0.1764112903,
1400,0.07560483871,
1401.75,-0.2268145161,
1403.5,-0.1260080645,
1405.25,-0.1764112903,
1407,-0.2772177419,
1408.75,-0.0252016129,
1410.5,-0.1764112903,
1412.25,-0.2268145161,
1414,-0.2268145161,
1415.75,-0.1260080645,
1417.5,-0.2772177419,
1419.25,-0.3780241935,
1421,-0.3276209677,
1422.75,-0.1260080645,
1424.5,-0.1260080645,
1426.25,-0.1764112903,
1428,-0.1764112903,
1429.75,-0.0252016129,
1431.5,-0.07560483871,
1433.25,-0.1260080645,
1435,-0.2268145161,
1436.75,-0.1260080645,
1438.5,-0.1260080645,
1440.25,-0.1260080645,
1442,-0.2772177419,
1443.75,-0.1260080645,
1445.5,-0.2772177419,
1447.25,-0.3276209677,
1449,-0.2268145161,
1450.75,-0.2268145161,
1452.5,-0.3276209677,
1454.25,-0.1764112903,
1456,-0.3780241935,
1457.75,-0.3276209677,
1459.5,-0.2268145161,
1461.25,-0.1764112903,
1463,-0.4284274194,
1464.75,-0.3276209677,
1466.5,-0.2268145161,
1468.25,-0.3276209677,
1470,0.07560483871,
1471.75,-0.6804435484,
1473.5,-0.2772177419,
1475.25,-0.3276209677,
1477,-0.2772177419,
1478.75,-0.3276209677,
1480.5,-0.1260080645,
1482.25,-0.2772177419,
1484,-0.2268145161,
1485.75,-0.4788306452,
1487.5,-0.1260080645,
1489.25,-0.2268145161,
1491,-0.4284274194,
1492.75,-0.0252016129,
1494.5,-0.2268145161,
1496.25,-0.2268145161,
1498,-0.2268145161,
1499.75,-0.2268145161,
1501.5,-0.1764112903,
1503.25,-0.3780241935,
1505,-0.2268145161,
1506.75,-0.1260080645,
1508.5,-0.2772177419,
1510.25,-0.1260080645,
1512,-0.2268145161,
1513.75,-0.1260080645,
1515.5,-0.4284274194,
1517.25,-0.1764112903,
1519,-0.3780241935,
1520.75,-0.1764112903,
1522.5,-0.4284274194,
1524.25,-0.1260080645,
1526,-0.0252016129,
1527.75,-0.2268145161,
1529.5,-0.07560483871,
1531.25,-0.2268145161,
1533,-0.07560483871,
1534.75,-0.07560483871,
1536.5,-0.0252016129,
1538.25,-0.2268145161,
1540,-0.2772177419,
1541.75,-0.07560483871,
1543.5,-0.2772177419,
1545.25,-0.3780241935,
1547,-0.2268145161,
1548.75,-0.2268145161,
1550.5,-0.3276209677,
1552.25,-0.2268145161,
1554,-0.1260080645,
1555.75,-0.1764112903,
1557.5,-0.3276209677,
1559.25,-0.0252016129,
1561,-0.4284274194,
1562.75,0.1260080645,
1564.5,-0.07560483871,
1566.25,-0.2772177419,
1568,-0.2772177419,
1569.75,0.1764112903,
1571.5,-0.07560483871,
1573.25,0.07560483871,
1575,-0.1764112903,
1576.75,-0.1764112903,
1578.5,-0.0252016129,
1580.25,-0.2772177419,
1582,-0.1260080645,
1583.75,-0.1764112903,
1585.5,-0.07560483871,
1587.25,-0.07560483871,
1589,-0.2772177419,
1590.75,-0.3276209677,
1592.5,-0.1764112903,
1594.25,-0.2268145161,
1596,-0.2772177419,
1597.75,-0.1764112903,
1599.5,-0.3780241935,
1601.25,-0.2772177419,
1603,-0.529233871,
1604.75,-0.3276209677,
1606.5,0.1260080645,
1608.25,-0.3276209677,
1610,-0.1764112903,
1611.75,-0.2268145161,
1613.5,-0.2268145161,
1615.25,-0.4284274194,
1617,-0.6300403226,
1618.75,-0.1764112903,
1620.5,-0.1260080645,
1622.25,-0.3276209677,
1624,-0.4788306452,
1625.75,-0.2772177419,
1627.5,-0.07560483871,
1629.25,-0.2772177419,
1631,-0.2268145161,
1632.75,-0.07560483871,
1634.5,-0.0252016129,
1636.25,-0.3780241935,
1638,-0.1764112903,
1639.75,-0.3276209677,
1641.5,-0.2772177419,
1643.25,-0.07560483871,
1645,-0.529233871,
1646.75,-0.0252016129,
1648.5,-0.2772177419,
1650.25,-0.2772177419,
1652,-0.1764112903,
1653.75,-0.2772177419,
1655.5,-0.2772177419,
1657.25,-0.0252016129,
1659,-0.2772177419,
1660.75,0.2268145161,
1662.5,-0.1764112903,
1664.25,-0.1764112903,
1666,-0.2268145161,
1667.75,-0.07560483871,
1669.5,-0.2268145161,
1671.25,-0.2772177419,
1673,-0.2772177419,
1674.75,-0.2268145161,
1676.5,0.1260080645,
1678.25,-0.1260080645,
1680,-0.07560483871,
1681.75,-0.0252016129,
1683.5,0.0252016129,
1685.25,-0.1764112903,
1687,-0.0252016129,
1688.75,-0.2268145161,
1690.5,-0.2772177419,
1692.25,-0.1764112903,
1694,-0.2268145161,
1695.75,-0.1260080645,
1697.5,-0.1764112903,
1699.25,-0.3780241935,
1701,-0.3276209677,
1702.75,-0.1764112903,
1704.5,-0.4788306452,
1706.25,-0.3276209677,
1708,-0.2268145161,
1709.75,-0.3780241935,
1711.5,-0.3780241935,
1713.25,-0.3276209677,
1715,-0.4284274194,
1716.75,-0.1764112903,
1718.5,-0.2772177419,
1720.25,-0.3780241935,
1722,-0.1764112903,
1723.75,-0.4284274194,
1725.5,-0.1764112903,
1727.25,-0.2772177419,
1729,-0.3780241935,
1730.75,-0.4284274194,
1732.5,-0.2268145161,
1734.25,-0.1260080645,
1736,-0.2268145161,
1737.75,-0.1764112903,
1739.5,-0.4284274194,
1741.25,-0.1764112903,
1743,-0.529233871,
1744.75,-0.07560483871,
1746.5,-0.0252016129,
1748.25,-0.07560483871,
1750,-0.07560483871,
1751.75,-0.2268145161,
1753.5,0.1764112903,
1755.25,-0.2268145161,
1757,-0.07560483871,
1758.75,-0.07560483871,
1760.5,-0.1260080645,
1762.25,-0.0252016129,
1764,-0.1764112903,
1765.75,-0.1260080645,
1767.5,-0.07560483871,
1769.25,-0.2268145161,
1771,0.0252016129,
1772.75,-0.3780241935,
1774.5,-0.1260080645,
1776.25,-0.2772177419,
1778,-0.5796370968,
1779.75,-0.3276209677,
1781.5,-0.2268145161,
1783.25,-0.1260080645,
1785,-0.2772177419,
1786.75,-0.1260080645,
1788.5,-0.5796370968,
1790.25,-0.07560483871,
1792,-0.0252016129,
1793.75,-0.3276209677,
1795.5,-0.3780241935,
1797.25,-0.1260080645,
1799,-0.4284274194,
1800.75,-0.1764112903,
1802.5,-0.07560483871,
1804.25,-0.1260080645,
1806,-0.1764112903,
1807.75,-0.2772177419,
1809.5,-0.1764112903,
1811.25,-0.1260080645,
1813,-0.2772177419,
1814.75,-0.3276209677,
1816.5,-0.4284274194,
1818.25,-0.3780241935,
1820,-0.07560483871,
1821.75,-0.1260080645,
1823.5,-0.1764112903,
1825.25,-0.2772177419,
1827,-0.4284274194,
1828.75,-0.1764112903,
1830.5,-0.2772177419,
1832.25,-0.4788306452,
1834,-0.2268145161,
1835.75,-0.3780241935,
1837.5,-0.4284274194,
1839.25,-0.3276209677,
1841,-0.4284274194,
1842.75,-0.3276209677,
1844.5,-0.4788306452,
1846.25,-0.6300403226,
1848,-0.3276209677,
1849.75,-0.3780241935,
1851.5,-0.3780241935,
1853.25,0.0252016129,
1855,-0.6300403226,
1856.75,0.0252016129,
1858.5,0.0252016129,
1860.25,-0.1764112903,
1862,-0.07560483871,
1863.75,-0.07560483871,
1865.5,0.0252016129,
1867.25,-0.1764112903,
1869,-0.1260080645,
1870.75,-0.2772177419,
1872.5,0.2268145161,
1874.25,0.0252016129,
1876,-0.2772177419,
1877.75,-0.2268145161,
1879.5,-0.1260080645,
1881.25,-0.2268145161,
1883,-0.2268145161,
1884.75,-0.0252016129,
1886.5,-0.5796370968,
1888.25,-0.0252016129,
1890,-0.3276209677,
1891.75,-0.3276209677,
